URL_ID,URL,WORD COUNT,COMPLEX WORD COUNT,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
bctech2011,https://insights.blackcoffer.com/ml-and-ai-based-insurance-premium-model-to-predict-premium-to-be-charged-by-the-insurance-company/,875,257,0,0,0.06805694305694304,0.3856171606171605,36.458333333333336,29.37142857142857,26.331904761904767,36.458333333333336,1.9942857142857142,3,5.9714285714285715
bctech2012,https://insights.blackcoffer.com/streamlined-integration-interactive-brokers-api-with-python-for-desktop-trading-application/,260,70,0,0,0.04869408369408369,0.30935064935064926,37.142857142857146,26.923076923076923,25.62637362637363,37.142857142857146,2.0076923076923077,2,6.119230769230769
bctech2013,https://insights.blackcoffer.com/efficient-data-integration-and-user-friendly-interface-development-navigating-challenges-in-web-application-deployment/,260,74,0,0,0.04869408369408369,0.30935064935064926,37.142857142857146,28.46153846153846,26.241758241758244,37.142857142857146,2.0153846153846153,2,6.092307692307692
bctech2014,https://insights.blackcoffer.com/effective-management-of-social-media-data-extraction-strategies-for-authentication-security-and-reliability/,262,74,0,0,0.08022026992615228,0.32393684746625917,37.42857142857143,28.24427480916031,26.269138495092694,37.42857142857143,2.019083969465649,2,6.103053435114504
bctech2015,https://insights.blackcoffer.com/streamlined-trading-operations-interface-for-metatrader-4-empowering-efficient-management-and-monitoring/,260,75,0,0,0.04869408369408369,0.30935064935064926,37.142857142857146,28.846153846153843,26.395604395604398,37.142857142857146,2.0384615384615383,2,6.173076923076923
bctech2016,https://insights.blackcoffer.com/efficient-aws-infrastructure-setup-and-management-addressing-security-scalability-and-compliance/,259,74,0,0,0.04869408369408369,0.30935064935064926,37.0,28.57142857142857,26.228571428571428,37.0,2.011583011583012,2,6.111969111969112
bctech2017,https://insights.blackcoffer.com/streamlined-equity-waterfall-calculation-and-deal-management-system/,260,72,0,0,0.05815070346320346,0.30876623376623374,37.142857142857146,27.692307692307693,25.93406593406594,37.142857142857146,1.9961538461538462,2,6.092307692307692
bctech2018,https://insights.blackcoffer.com/automated-orthopedic-case-report-generation-harnessing-web-scraping-and-ai-integration/,259,72,0,0,0.04869408369408369,0.30935064935064926,37.0,27.7992277992278,25.91969111969112,37.0,2.0154440154440154,2,6.11969111969112
bctech2019,https://insights.blackcoffer.com/streamlining-time-calculation-in-warehouse-management-leveraging-shiphero-api-and-google-bigquery-integration/,269,76,0,0,0.04869408369408369,0.30935064935064926,38.42857142857143,28.25278810408922,26.672543813064262,38.42857142857143,2.026022304832714,2,6.141263940520446
bctech2020,https://insights.blackcoffer.com/efficient-database-design-and-management-streamlining-access-and-integration-for-partner-entity-management/,265,74,0,0,0.04869408369408369,0.30935064935064926,37.857142857142854,27.92452830188679,26.312668463611857,37.857142857142854,2.0075471698113208,2,6.079245283018868
bctech2021,https://insights.blackcoffer.com/automated-campaign-management-system-a-comprehensive-solution-with-linkedin-and-email-integration/,263,76,0,0,0.04869408369408369,0.30935064935064926,37.57142857142857,28.89733840304182,26.587506789788154,37.57142857142857,2.03041825095057,2,6.163498098859316
bctech2022,https://insights.blackcoffer.com/ai-driven-data-analysis-ai-tool-using-langchain-for-a-leading-real-estate-and-financing-firm-worldwide/,754,177,0,0,0.06008140410314323,0.3860201392810089,19.842105263157894,23.47480106100796,17.326762529666343,19.842105263157894,1.8912466843501325,2,5.660477453580902
bctech2023,https://insights.blackcoffer.com/grafana-dashboard-to-visualize-and-analyze-sensors-data/,569,143,0,0,0.11118881118881117,0.44901764901764896,27.095238095238095,25.13181019332162,20.890819315423887,27.095238095238095,1.866432337434095,5,5.65377855887522
bctech2024,https://insights.blackcoffer.com/mvp-for-a-software-that-analyses-content-from-audio-pharma-based/,406,98,0,0,0.1267570111048372,0.4219678147939017,33.833333333333336,24.137931034482758,23.188505747126438,33.833333333333336,1.8916256157635467,3,5.761083743842365
bctech2025,https://insights.blackcoffer.com/data-engineering-and-management-tool-airbyte-with-custom-data-connectors-to-manage-crm-database/,763,168,0,0,0.08604617604617605,0.37811688311688313,21.8,22.018348623853214,17.527339449541284,21.8,1.8138925294888597,12,5.5307994757536045
